0  3 1
4341765 433113 0 0
4341888 34233 3 5
4341890 433312 2 2
4342017 433321 4 0
4342272 433322 0 -2
4342400 433223 1 0
4358147 413133 4 17
4358273 423133 2 1
4358528 423233 2 -1
4374529 34331 3 5
4374532 431331 5 1
4374656 34332 1 4
4374658 431332 1 4
4374785 432331 2 4
4375040 432332 3 0
4390915 413331 4 17
4391041 423331 2 4
4391296 423332 5 2
4407299 433131 2 5
4407425 433231 1 9
4407680 433232 1 6
4472832 33343 3 6
4472834 433313 3 -3
4473088 433323 3 -2
4489217 313343 4 17
4489344 323343 3 0
4505600 34333 3 3
4505602 431333 0 -3
4505856 432333 1 -2
4521985 413333 4 17
4522112 423333 1 0
4538369 433133 0 4
4538496 433233 3 5
4587521 334331 4 17
4587648 334332 5 4
4603905 433331 6 3
4604032 433332 5 3
4784128 333343 1 17
4849664 334333 1 17
4866048 433333 4 1
6291458 414 3 -4
6291462 1414 0 -5
6291466 41411 3 -4
6291468 41114 3 -4
6291469 11414 0 -4
6291478 141411 2 -5
6291482 141114 2 -5
6291484 111414 0 -6
6291590 41412 3 -4
6291712 424 3 0
6291714 2414 2 -5
6291716 42411 3 0
6291717 42114 3 -3
6291722 241411 3 -4
6291724 241114 6 -5
6291725 211414 0 -4
6291970 42412 3 0
6291974 241412 2 -5
6292098 41224 3 -3
6292102 141224 3 -3
6292224 2424 1 2
6292225 42421 3 2
6292228 242411 1 2
6292229 242114 1 2
6292736 42422 2 -5
6292738 242412 2 -5
6292992 42224 1 -5
6292994 241224 2 -5
6293120 22424 1 -2
6293122 122424 1 2
6294272 242422 3 2
6294784 242224 3 -3
6295040 222424 0 -6
6307846 41413 4 -9
6308098 42413 3 0
6308102 241413 0 -5
6308608 42423 3 2
6308610 242413 1 2
6324224 434 3 0
6324226 3414 0 -5
6324228 43411 3 0
6324229 43114 3 0
6324234 341411 3 -4
6324236 341114 2 -5
6324237 311414 0 -4
6324354 43412 3 -2
6324358 341412 0 -2
6324480 3424 3 -4
6324481 43421 3 2
